DEPARTAMENTO,PROVINCIA,DISTRITO,ubigeo,Poblacion,IDH2019,Educ_sec_comp2019_pct,NBI2017_pct,Viv_sin_serv_hig2017_pct,queen_interseccion_lisa,queen_interseccion_moran_i,queen_interseccion_p,queen_interseccion_n,rook_frontera_compartida_lisa,rook_frontera_compartida_moran_i,rook_frontera_compartida_p,rook_frontera_compartida_n,knn_4_centroides_lisa,knn_4_centroides_moran_i,knn_4_centroides_p,knn_4_centroides_n,banda_distancia_27_km_lisa,banda_distancia_27_km_moran_i,banda_distancia_27_km_p,banda_distancia_27_km_n
Lima,HUAURA,SANTA MARIA,PE150810,35132,0.6256541286888256,74.48686395070398,22.7,5.3,3 no_pattern,0.3510739787820074,0.306,4,3 no_pattern,0.3510739787820074,0.304,4,3 no_pattern,0.34458320175310236,0.278,4,3 no_pattern,0.23417524359798078,0.406,6
Lima,LIMA,SANTA MARIA DEL MAR,PE150138,1721,0.7466597389219729,64.03247149608075,12.1,0.0,3 no_pattern,-0.021343403736061348,0.278,3,3 no_pattern,-0.021343403736061348,0.258,3,3 no_pattern,-0.017681118628493364,0.29,4,5 coldOutlier,-0.02419251367731709,0.046,8
Lima,LIMA,SANTA ROSA,PE150139,20112,0.6605773559814456,67.6185602929845,26.5,1.3,3 no_pattern,0.10669824054502795,0.634,1,3 no_pattern,0.10669824054502795,0.666,1,3 no_pattern,0.13801979899776598,0.18,4,2 hotSpot,0.15610958940471217,0.026,8
Lima,CANTA,SANTA ROSA DE QUIVES,PE150407,8388,0.6000153967944606,64.4674409647477,33.8,9.5,3 no_pattern,0.00014315613461941368,0.918,7,3 no_pattern,0.00035045151183838835,0.862,6,3 no_pattern,0.0011964013569298816,0.566,4,3 no_pattern,0.0011964013569298816,0.54,4
Lima,HUAROCHIRI,SANTIAGO DE ANCHUCAYA,PE150729,526,0.42606194055124086,57.00632891227998,39.4,31.8,4 coldSpot,0.5625338825784388,0.038,3,4 coldSpot,0.5625338825784388,0.036,3,3 no_pattern,0.48931952320464617,0.052,4,4 coldSpot,0.4481860341934409,0.004,11
Lima,LIMA,SANTIAGO DE SURCO,PE150140,363183,0.8017574897902351,78.74302427848284,3.6000000000000005,0.1,2 hotSpot,0.8601853750088545,0.014,8,2 hotSpot,0.8601853750088545,0.01,8,3 no_pattern,0.8972130259055626,0.056,4,2 hotSpot,0.805465389918194,0.002,31
Lima,HUAROCHIRI,SANTIAGO DE TUNA,PE150730,762,0.28634303603657413,47.263429061817575,50.1,38.4,3 no_pattern,-0.21878090442593645,0.7,4,3 no_pattern,-0.21878090442593645,0.718,4,3 no_pattern,-0.27402227007701974,0.652,4,3 no_pattern,0.0874013592780489,0.728,16
Lima,HUAROCHIRI,SANTO DOMINGO DE LOS OLLEROS,PE150731,5026,0.4081700461455604,53.82223118798082,35.9,17.5,3 no_pattern,-0.08982918539557234,0.696,11,3 no_pattern,-0.0674083091995931,0.716,10,3 no_pattern,0.4311215342687822,0.212,4,3 no_pattern,0.10867587387540235,0.62,10
Lima,HUAURA,SAYAN,PE150811,24941,0.625259356790912,64.39893010534446,36.2,11.8,3 no_pattern,0.0017651438733100146,0.542,9,3 no_pattern,0.0013174818618611529,0.662,8,3 no_pattern,-0.0012530180541405831,0.79,4,3 no_pattern,-0.005893829900624703,0.546,1
Lima,HUARAL,SUMBILCA,PE150611,948,0.40036974271190734,60.92847646892804,90.4,88.9,3 no_pattern,-0.002586118878374537,0.974,7,3 no_pattern,-0.002586118878374537,0.972,7,3 no_pattern,-0.05127430015406304,0.654,4,3 no_pattern,-0.009033742003771283,0.926,7
